IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.65.27.59,4,4,0.00,10.52,0.00,N/A
172.65.230.103,4,4,0.00,10.84,0.00,N/A
172.67.209.149,4,4,0.00,10.87,0.00,N/A
172.65.135.73,4,4,0.00,10.99,0.00,N/A
104.27.25.169,4,4,0.00,11.02,0.00,N/A
104.24.81.13,4,4,0.00,11.05,0.00,N/A
104.25.182.54,4,4,0.00,11.05,0.00,N/A
172.64.42.170,4,4,0.00,11.09,0.00,N/A
104.21.120.49,4,4,0.00,11.20,0.00,N/A
172.65.253.186,4,4,0.00,11.22,0.00,N/A
104.25.246.177,4,4,0.00,11.26,0.00,N/A
104.24.198.172,4,4,0.00,11.29,0.00,N/A
104.24.86.196,4,4,0.00,11.29,0.00,N/A
172.66.171.134,4,4,0.00,11.38,0.00,N/A
172.65.69.116,4,4,0.00,11.38,0.00,N/A
104.21.199.155,4,4,0.00,11.41,0.00,N/A
104.27.56.140,4,4,0.00,11.43,0.00,N/A
104.21.196.209,4,4,0.00,11.46,0.00,N/A
104.27.58.8,4,4,0.00,11.47,0.00,N/A
104.21.193.65,4,4,0.00,11.52,0.00,N/A
104.24.178.216,4,4,0.00,11.54,0.00,N/A
104.21.4.184,4,4,0.00,11.58,0.00,N/A
104.27.75.27,4,4,0.00,11.59,0.00,N/A
104.24.215.210,4,4,0.00,11.64,0.00,N/A
172.67.233.9,4,4,0.00,11.68,0.00,N/A
104.24.48.141,4,4,0.00,11.69,0.00,N/A
172.66.169.59,4,4,0.00,11.70,0.00,N/A
172.66.2.27,4,4,0.00,11.72,0.00,N/A
104.25.244.33,4,4,0.00,11.72,0.00,N/A
104.19.20.203,4,4,0.00,11.78,0.00,N/A
172.65.152.170,4,4,0.00,11.78,0.00,N/A
172.65.47.247,4,4,0.00,11.78,0.00,N/A
104.24.192.189,4,4,0.00,11.83,0.00,N/A
172.66.47.196,4,4,0.00,11.84,0.00,N/A
172.67.185.56,4,4,0.00,11.85,0.00,N/A
172.67.85.199,4,4,0.00,11.85,0.00,N/A
172.65.229.183,4,4,0.00,11.85,0.00,N/A
104.19.9.218,4,4,0.00,11.88,0.00,N/A
172.65.130.196,4,4,0.00,11.90,0.00,N/A
172.65.111.242,4,4,0.00,11.90,0.00,N/A
104.24.206.141,4,4,0.00,11.92,0.00,N/A
104.21.118.54,4,4,0.00,11.93,0.00,N/A
104.25.92.105,4,4,0.00,11.93,0.00,N/A
104.25.254.139,4,4,0.00,11.94,0.00,N/A
172.65.17.138,4,4,0.00,11.95,0.00,N/A
104.21.114.110,4,4,0.00,11.96,0.00,N/A
104.25.195.169,4,4,0.00,11.97,0.00,N/A
172.66.3.237,4,4,0.00,11.98,0.00,N/A
104.21.24.120,4,4,0.00,11.99,0.00,N/A
104.21.89.158,4,4,0.00,11.99,0.00,N/A
104.25.239.78,4,4,0.00,11.99,0.00,N/A
104.25.247.66,4,4,0.00,12.00,0.00,N/A
104.27.22.164,4,4,0.00,12.01,0.00,N/A
172.66.163.253,4,4,0.00,12.03,0.00,N/A
104.21.192.24,4,4,0.00,12.03,0.00,N/A
104.21.79.13,4,4,0.00,12.03,0.00,N/A
172.64.153.73,4,4,0.00,12.04,0.00,N/A
172.65.129.34,4,4,0.00,12.04,0.00,N/A
104.25.196.228,4,4,0.00,12.06,0.00,N/A
172.64.33.44,4,4,0.00,12.07,0.00,N/A
104.25.22.77,4,4,0.00,12.07,0.00,N/A
104.24.87.162,4,4,0.00,12.07,0.00,N/A
172.66.157.223,4,4,0.00,12.08,0.00,N/A
172.67.122.197,4,4,0.00,12.09,0.00,N/A
172.67.88.61,4,4,0.00,12.09,0.00,N/A
172.65.84.55,4,4,0.00,12.10,0.00,N/A
104.27.93.231,4,4,0.00,12.10,0.00,N/A
104.26.3.242,4,4,0.00,12.11,0.00,N/A
172.65.192.175,4,4,0.00,12.11,0.00,N/A
172.66.170.72,4,4,0.00,12.12,0.00,N/A
104.24.165.85,4,4,0.00,12.12,0.00,N/A
172.65.195.171,4,4,0.00,12.14,0.00,N/A
172.64.89.38,4,4,0.00,12.14,0.00,N/A
172.67.106.233,4,4,0.00,12.17,0.00,N/A
104.21.59.83,4,4,0.00,12.19,0.00,N/A
104.21.233.88,4,4,0.00,12.19,0.00,N/A
172.67.187.75,4,4,0.00,12.19,0.00,N/A
172.65.132.106,4,4,0.00,12.19,0.00,N/A
104.24.0.3,4,4,0.00,12.21,0.00,N/A
104.25.6.17,4,4,0.00,12.22,0.00,N/A
172.65.86.225,4,4,0.00,12.24,0.00,N/A
172.66.172.243,4,4,0.00,12.25,0.00,N/A
104.21.34.125,4,4,0.00,12.26,0.00,N/A
104.25.85.76,4,4,0.00,12.27,0.00,N/A
104.25.27.139,4,4,0.00,12.27,0.00,N/A
172.67.162.125,4,4,0.00,12.28,0.00,N/A
104.25.119.33,4,4,0.00,12.28,0.00,N/A
104.24.189.57,4,4,0.00,12.29,0.00,N/A
104.21.58.126,4,4,0.00,12.29,0.00,N/A
104.24.75.238,4,4,0.00,12.29,0.00,N/A
172.65.171.154,4,4,0.00,12.31,0.00,N/A
104.25.107.83,4,4,0.00,12.31,0.00,N/A
172.67.96.153,4,4,0.00,12.31,0.00,N/A
172.65.15.24,4,4,0.00,12.32,0.00,N/A
172.65.10.244,4,4,0.00,12.32,0.00,N/A
104.21.119.197,4,4,0.00,12.32,0.00,N/A
172.64.98.123,4,4,0.00,12.34,0.00,N/A
172.67.184.43,4,4,0.00,12.34,0.00,N/A
172.64.96.149,4,4,0.00,12.34,0.00,N/A
104.24.197.107,4,4,0.00,12.35,0.00,N/A
104.25.83.253,4,4,0.00,12.36,0.00,N/A
104.25.118.54,4,4,0.00,12.37,0.00,N/A
172.64.95.189,4,4,0.00,12.38,0.00,N/A
104.25.88.17,4,4,0.00,12.39,0.00,N/A
104.21.224.96,4,4,0.00,12.39,0.00,N/A
104.21.29.216,4,4,0.00,12.41,0.00,N/A
104.24.69.204,4,4,0.00,12.41,0.00,N/A
104.21.198.113,4,4,0.00,12.42,0.00,N/A
104.25.170.13,4,4,0.00,12.43,0.00,N/A
172.65.123.112,4,4,0.00,12.44,0.00,N/A
