IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.152.76,4,4,0.00,167.65,28.17,SJC
162.159.237.144,4,4,0.00,168.10,27.73,SJC
104.17.132.78,4,4,0.00,165.68,26.15,SJC
104.18.247.79,4,4,0.00,167.92,0.24,LAX
104.16.156.158,4,4,0.00,164.59,0.19,LAX
104.27.21.122,4,4,0.00,164.86,0.19,LAX
104.16.60.175,4,4,0.00,164.76,0.17,LAX
104.17.50.237,4,4,0.00,167.55,0.09,LAX
104.16.163.198,4,4,0.00,165.63,0.08,LAX
104.21.112.1,4,4,0.00,167.22,0.02,LAX
104.17.141.32,4,2,0.50,164.95,0.00,N/A
162.159.202.80,4,3,0.25,192.50,0.00,N/A
104.19.40.12,4,4,0.00,169.66,0.00,N/A
104.24.164.30,4,4,0.00,170.02,0.00,N/A
104.18.56.191,4,4,0.00,170.69,0.00,N/A
104.25.177.240,4,4,0.00,170.83,0.00,N/A
104.17.211.240,4,4,0.00,171.43,0.00,N/A
104.27.33.193,4,4,0.00,172.71,0.00,N/A
104.17.29.239,4,4,0.00,173.44,0.00,N/A
162.159.57.31,4,4,0.00,173.82,0.00,N/A
104.16.24.183,4,4,0.00,175.21,0.00,N/A
104.17.48.206,4,4,0.00,176.01,0.00,N/A
104.16.38.186,4,4,0.00,176.24,0.00,N/A
104.24.3.49,4,4,0.00,176.24,0.00,N/A
172.64.38.132,4,4,0.00,176.73,0.00,N/A
172.64.46.83,4,4,0.00,177.28,0.00,N/A
172.65.238.42,4,4,0.00,177.46,0.00,N/A
172.65.231.235,4,4,0.00,177.51,0.00,N/A
172.67.75.51,4,4,0.00,177.51,0.00,N/A
104.24.193.101,4,4,0.00,177.64,0.00,N/A
104.17.73.66,4,4,0.00,177.92,0.00,N/A
172.67.68.199,4,4,0.00,178.02,0.00,N/A
172.65.226.16,4,4,0.00,178.08,0.00,N/A
172.65.225.170,4,4,0.00,179.48,0.00,N/A
104.26.12.209,4,4,0.00,180.41,0.00,N/A
198.41.219.117,4,4,0.00,180.43,0.00,N/A
104.20.17.22,4,4,0.00,180.49,0.00,N/A
104.21.198.214,4,4,0.00,180.96,0.00,N/A
104.26.14.189,4,4,0.00,181.22,0.00,N/A
172.67.72.33,4,4,0.00,181.29,0.00,N/A
104.26.11.240,4,4,0.00,181.56,0.00,N/A
104.19.122.102,4,4,0.00,182.01,0.00,N/A
172.66.210.183,4,4,0.00,182.13,0.00,N/A
104.19.223.230,4,4,0.00,182.74,0.00,N/A
104.16.17.62,4,4,0.00,183.13,0.00,N/A
104.20.16.174,4,4,0.00,183.24,0.00,N/A
108.162.198.113,4,4,0.00,183.39,0.00,N/A
104.26.7.130,4,4,0.00,183.44,0.00,N/A
104.19.186.136,4,4,0.00,184.32,0.00,N/A
172.67.77.20,4,4,0.00,184.36,0.00,N/A
104.17.154.3,4,4,0.00,184.83,0.00,N/A
162.159.195.60,4,4,0.00,185.07,0.00,N/A
104.21.58.71,4,4,0.00,185.22,0.00,N/A
104.26.3.178,4,4,0.00,185.30,0.00,N/A
104.27.205.181,4,4,0.00,185.77,0.00,N/A
104.24.206.202,4,4,0.00,186.17,0.00,N/A
104.29.125.72,4,4,0.00,186.68,0.00,N/A
104.17.34.120,4,4,0.00,186.78,0.00,N/A
104.19.139.21,4,4,0.00,187.08,0.00,N/A
162.159.199.206,4,4,0.00,187.15,0.00,N/A
172.67.227.154,4,4,0.00,187.23,0.00,N/A
103.31.4.170,4,4,0.00,187.38,0.00,N/A
162.159.196.7,4,4,0.00,187.48,0.00,N/A
104.16.80.94,4,4,0.00,187.64,0.00,N/A
172.64.188.173,4,4,0.00,187.79,0.00,N/A
104.26.5.193,4,4,0.00,187.85,0.00,N/A
104.16.9.227,4,4,0.00,187.97,0.00,N/A
104.16.120.6,4,4,0.00,188.11,0.00,N/A
104.24.31.84,4,4,0.00,188.37,0.00,N/A
104.25.178.27,4,4,0.00,188.52,0.00,N/A
104.16.13.162,4,4,0.00,189.06,0.00,N/A
172.67.170.53,4,4,0.00,189.68,0.00,N/A
104.21.219.135,4,4,0.00,189.72,0.00,N/A
104.19.88.93,4,4,0.00,189.90,0.00,N/A
172.64.33.88,4,4,0.00,190.25,0.00,N/A
172.65.130.156,4,4,0.00,190.67,0.00,N/A
104.16.116.207,4,4,0.00,190.67,0.00,N/A
104.24.40.113,4,4,0.00,190.76,0.00,N/A
104.24.49.175,4,4,0.00,191.05,0.00,N/A
104.25.90.215,4,4,0.00,191.08,0.00,N/A
104.19.174.56,4,4,0.00,191.09,0.00,N/A
104.21.88.92,4,4,0.00,191.45,0.00,N/A
104.21.202.73,4,4,0.00,191.59,0.00,N/A
162.159.14.88,4,4,0.00,191.74,0.00,N/A
104.16.20.26,4,4,0.00,191.79,0.00,N/A
104.16.180.164,4,4,0.00,191.82,0.00,N/A
104.27.71.134,4,4,0.00,191.97,0.00,N/A
104.16.93.20,4,4,0.00,192.07,0.00,N/A
172.67.255.97,4,4,0.00,192.11,0.00,N/A
104.18.176.206,4,4,0.00,192.18,0.00,N/A
104.16.58.50,4,4,0.00,192.29,0.00,N/A
162.159.234.81,4,4,0.00,192.31,0.00,N/A
104.24.36.160,4,4,0.00,192.42,0.00,N/A
104.18.172.176,4,4,0.00,192.67,0.00,N/A
172.66.2.227,4,4,0.00,192.85,0.00,N/A
104.19.173.116,4,4,0.00,193.00,0.00,N/A
172.65.29.153,4,4,0.00,193.02,0.00,N/A
104.21.16.151,4,4,0.00,193.16,0.00,N/A
104.27.22.15,4,4,0.00,193.18,0.00,N/A
104.19.29.41,4,4,0.00,193.53,0.00,N/A
104.24.145.13,4,4,0.00,193.57,0.00,N/A
104.17.99.15,4,4,0.00,193.63,0.00,N/A
104.27.12.233,4,4,0.00,193.77,0.00,N/A
104.19.78.178,4,4,0.00,193.92,0.00,N/A
172.67.201.245,4,4,0.00,193.93,0.00,N/A
104.25.14.3,4,4,0.00,194.07,0.00,N/A
172.65.26.116,4,4,0.00,194.15,0.00,N/A
104.17.75.220,4,4,0.00,194.95,0.00,N/A
172.67.244.216,4,4,0.00,195.03,0.00,N/A
104.16.55.182,4,4,0.00,195.06,0.00,N/A
104.16.52.238,4,4,0.00,195.14,0.00,N/A
172.67.245.109,4,4,0.00,195.22,0.00,N/A
104.20.27.179,4,4,0.00,195.70,0.00,N/A
104.16.133.107,4,4,0.00,195.75,0.00,N/A
104.20.44.226,4,4,0.00,195.79,0.00,N/A
172.65.48.213,4,4,0.00,195.99,0.00,N/A
104.17.222.106,4,4,0.00,196.05,0.00,N/A
104.21.68.119,4,4,0.00,196.05,0.00,N/A
172.65.244.78,4,4,0.00,196.06,0.00,N/A
104.27.1.82,4,4,0.00,196.07,0.00,N/A
162.159.160.136,4,4,0.00,196.07,0.00,N/A
104.21.192.186,4,4,0.00,196.12,0.00,N/A
104.21.64.132,4,4,0.00,196.16,0.00,N/A
104.31.16.166,4,4,0.00,196.55,0.00,N/A
104.27.37.199,4,4,0.00,196.85,0.00,N/A
172.65.53.11,4,4,0.00,196.87,0.00,N/A
104.24.53.16,4,4,0.00,197.30,0.00,N/A
172.65.7.228,4,4,0.00,197.32,0.00,N/A
172.66.143.202,4,4,0.00,197.53,0.00,N/A
104.27.17.188,4,4,0.00,197.68,0.00,N/A
104.24.41.49,4,4,0.00,197.68,0.00,N/A
172.65.235.246,4,4,0.00,197.83,0.00,N/A
104.16.102.151,4,4,0.00,198.02,0.00,N/A
104.24.16.37,4,4,0.00,198.44,0.00,N/A
172.66.148.34,4,4,0.00,198.49,0.00,N/A
172.67.235.221,4,4,0.00,198.53,0.00,N/A
104.27.10.46,4,4,0.00,199.00,0.00,N/A
104.27.18.60,4,4,0.00,199.05,0.00,N/A
104.16.204.45,4,4,0.00,199.10,0.00,N/A
104.17.252.169,4,4,0.00,199.34,0.00,N/A
104.24.10.176,4,4,0.00,199.34,0.00,N/A
162.159.2.158,4,4,0.00,199.36,0.00,N/A
172.67.71.88,4,4,0.00,199.59,0.00,N/A
172.67.69.162,4,4,0.00,199.83,0.00,N/A
162.159.207.177,4,4,0.00,199.95,0.00,N/A
104.18.152.111,4,4,0.00,199.96,0.00,N/A
104.24.207.50,4,4,0.00,200.03,0.00,N/A
162.159.233.16,4,4,0.00,200.05,0.00,N/A
104.17.11.225,4,4,0.00,200.05,0.00,N/A
104.16.168.144,4,4,0.00,200.21,0.00,N/A
104.19.146.84,4,4,0.00,200.45,0.00,N/A
172.65.224.49,4,4,0.00,200.47,0.00,N/A
172.67.70.163,4,4,0.00,200.56,0.00,N/A
172.67.174.55,4,4,0.00,200.58,0.00,N/A
104.19.119.247,4,4,0.00,200.59,0.00,N/A
141.101.121.85,4,4,0.00,200.79,0.00,N/A
104.26.2.25,4,4,0.00,201.41,0.00,N/A
104.25.76.0,4,4,0.00,201.46,0.00,N/A
104.25.1.246,4,4,0.00,201.93,0.00,N/A
172.64.234.123,4,4,0.00,202.53,0.00,N/A
104.16.26.198,4,4,0.00,202.70,0.00,N/A
104.20.19.98,4,4,0.00,203.01,0.00,N/A
104.18.1.44,4,4,0.00,203.13,0.00,N/A
104.16.14.58,4,4,0.00,203.22,0.00,N/A
104.25.205.52,4,4,0.00,203.31,0.00,N/A
104.24.191.123,4,4,0.00,203.33,0.00,N/A
172.65.116.8,4,4,0.00,203.55,0.00,N/A
104.26.8.87,4,4,0.00,203.56,0.00,N/A
162.159.33.18,4,4,0.00,203.95,0.00,N/A
104.17.102.231,4,4,0.00,204.03,0.00,N/A
162.159.224.46,4,4,0.00,204.10,0.00,N/A
104.18.144.185,4,4,0.00,204.16,0.00,N/A
104.24.155.122,4,4,0.00,204.39,0.00,N/A
104.19.132.94,4,4,0.00,204.88,0.00,N/A
104.25.52.24,4,4,0.00,204.99,0.00,N/A
104.26.9.37,4,4,0.00,205.74,0.00,N/A
104.18.231.142,4,4,0.00,205.78,0.00,N/A
104.16.241.147,4,4,0.00,206.41,0.00,N/A
104.19.125.7,4,4,0.00,206.44,0.00,N/A
172.64.72.19,4,4,0.00,206.58,0.00,N/A
104.29.159.110,4,4,0.00,207.35,0.00,N/A
104.19.208.252,4,4,0.00,207.98,0.00,N/A
104.24.247.187,4,4,0.00,208.18,0.00,N/A
104.21.53.124,4,4,0.00,208.43,0.00,N/A
104.19.142.125,4,4,0.00,208.73,0.00,N/A
104.19.68.227,4,4,0.00,209.32,0.00,N/A
172.64.67.184,4,4,0.00,209.86,0.00,N/A
172.64.35.6,4,4,0.00,210.63,0.00,N/A
104.21.31.149,4,4,0.00,210.67,0.00,N/A
104.16.106.248,4,4,0.00,210.73,0.00,N/A
104.16.190.25,4,4,0.00,210.73,0.00,N/A
104.19.89.185,4,4,0.00,210.95,0.00,N/A
104.18.94.25,4,4,0.00,211.00,0.00,N/A
104.18.132.238,4,4,0.00,211.47,0.00,N/A
